name;Producto;ID Producto;Unidad de Medida;peso;Valor (Balboas)
Alemania;Camarones cultivados, sin ahumar, congelados.;0306.17.11.00.00;KB;91860;420915
Alemania;Piñas (ananás), frescas o secas.;0804.30.00.00.00;KB;790163;332499
Alemania;Café oro, sin tostar y sin descafeinar.;0901.11.30.00.00;KB;244;771
Alemania;Café tostado, sin descafeinar.;0901.21.00.00.00;KB;56010;380477
Alemania;Café tostado, descafeinado.;0901.22.00.00.00;KB;56364;857716
Alemania;Cacao en grano, entero o partido, crudo o tostado.;1801.00.00.00.00;KB;316000;1205425
Alemania;Ron.;2208.40.10.00.00;LT;136304;603975
Alemania;Harina de pescado.;2301.20.10.00.00;KB;253970;314922
Alemania;Minerales de cobre y sus concentrados.;2603.00.00.00.00;KB;20712273;25282907
Alemania;Los  demás papeles o cartones, incluidos los desperdicios y desechos sin clasificar.;4707.90.00.00.00;KB;60000;3600
Alemania;Desperdicios y desechos, de cobre.;7404.00.00.00.00;KB;20910;19705
Alemania;Desperdicios y desechos, de aluminio.;7602.00.00.00.00;KB;750000;30000
Antigua y Barbuda;Dorados (Coryphaena hippurus), frescos  o  refrigerados, excepto los hígados, huevas y lechas.;0302.89.20.00.00;KB;2272;13745
Antigua y Barbuda;Calamares y potas, en presentación superior a 3 kg, ahumados, incluso  pelados  o  cocidos  durante  el ahumado, secos, salados o en salmuera.;0307.49.11.00.00;KB;284;1764
Antigua y Barbuda;Los demás moluscos, incluidos la harina, polvo y <<pellets>> de moluscos, aptos  para  la  alimentación humana, secos, salados o en salmuera, excepto ahumados.;0307.99.90.00.00;KB;1515;7498
Antigua y Barbuda;Café oro, sin tostar y sin descafeinar.;0901.11.30.00.00;KB;4762;19950
Antigua y Barbuda;Salmones enteros o en trozos, envasados herméticamente o al vacio.;1604.11.00.00.10;KB;4628;79141
Antigua y Barbuda;Lomos de atún, cocidos, congelados, enteros o en trozos, excepto picado.;1604.14.10.00.00;KB;994;8600
Antigua y Barbuda;Preparaciones  y  conservas  de  salmón, envasados herméticamente o al vacío.;1604.20.93.00.00;KB;30;362
Antigua y Barbuda;Melaza de caña, excepto comestible.;1703.10.90.00.00;KB;1200000;78624
Arabia Saudita;Piñas (ananás), frescas o secas.;0804.30.00.00.00;KB;42000;21296
Arabia Saudita;Café oro, sin tostar y sin descafeinar.;0901.11.30.00.00;KB;300;900
Arabia Saudita;Café tostado, sin descafeinar.;0901.21.00.00.00;KB;21000;149793
Arabia Saudita;Café tostado, descafeinado.;0901.22.00.00.00;KB;40982;1166057
Arabia Saudita;Cacao en grano, entero o partido, crudo o tostado.;1801.00.00.00.00;KB;180;900
Arabia Saudita;Desperdicios y desechos, de aluminio.;7602.00.00.00.00;KB;6365590;1891057
Argentina;Tabaco sin desvenar o desnervar, excepto  tabaco Virginia, Burley y Turco (oriental).;2401.10.90.00.00;KB;815;7724
Aruba;Los demás salmónidos, frescos o refrigerados, excepto los hígados, huevas y lechas.;0302.19.00.00.00;KB;13243;29519
Aruba;Dorados (Coryphaena hippurus), frescos  o  refrigerados, excepto los hígados, huevas y lechas.;0302.89.20.00.00;KB;227;1840
Aruba;Otros pescados frescos o refrigerados, excepto los hígados, huevas y lechas.;0302.89.90.00.00;KB;1742;5947
Aruba;Atunes (del género Thunnus), listados o bonitos  de vientre rayado (Euthynnus (katsuwonus) pelais), en filetes, congelados.;0304.87.00.00.00;KB;1014;7099
Aruba;Dorados  (Coryphaena  hippurus), en  filetes  congelados,  excepto los hígados, huevas y lechas.;0304.89.20.00.00;KB;33562;134250
Aruba;Otros pescados en filetes congelados, excepto los hígados, huevas y lechas.;0304.89.90.00.00;KB;8992;32340
Aruba;Colas de langostas (Palinurus spp., Panulirus spp. y Jasus spp.), congeladas, sin pelar ni ahumar.;0306.11.13.00.00;KB;74;1336
Aruba;Los demás moluscos, incluidos la harina, polvo y <<pellets>> de moluscos, aptos  para  la  alimentación humana, secos, salados o en salmuera, excepto ahumados.;0307.99.90.00.00;KB;200;954
